Company_Name,Metric,Claim_Text,Verification_URL
ООО РДР,M01_Earthworks,"Выполняем весь спектр землеройных работ","https://rdr71.ru/"
ООО РДР,M02_Concrete,"Реализуем бетон","https://rdr71.ru/"
ООО РДР,M03_Own_Fleet,"В состав автопарка входят автомобили-самосвалы, экскаваторы-погрузчики, фронтальные погрузчики, гусеничные экскаваторы","https://rdr71.ru/"
ООО РДР,M04_Sand_Crushed_Stone,"Мы поставляем песок, щебень","https://rdr71.ru/"
ООО РДР,M05_Muchka_Mortar,"Поставляем мучку, реализуем строительный раствор","https://rdr71.ru/"
ООО РДР,M06_Equipment_Rental,"Предоставление в аренду специализированной строительной техники","https://rdr71.ru/"
ООО РДР,M07_Cargo_Logistics,"Оказание услуг в сфере грузоперевозок и погрузочно-разгрузочные работы","https://rdr71.ru/"
Компания А,M04_Sand_Crushed_Stone,"Поставка нерудных материалов по Туле",""
Компания А,M07_Cargo_Logistics,"Осуществляем доставку материалов",""
Компания Б,M03_Own_Fleet,"Собственный парк самосвалов",""
Компания С,M06_Equipment_Rental,"Аренда спецтехники в Туле","-"
